"Time(input)","Time(AQMS)","Longitude","Latitude","AQHI","AR%","AR%(PM)","AR%(NO2)","AR%(O3)","AR%(SO2)","PM10(ug/m3)","PM2.5(ug/m3)","NO2(ug/m3)","O3(ug/m3)","SO2(ug/m3)"
"2024070208","2024070208",114.20090770,22.29083820,2.000000,3.158550,0.402540,0.651105,2.082453,0.022452,15.034801,6.321793,23.820875,33.210079,2.116895
"2024070208","2024070208",114.26441870,22.31554520,2.000000,3.134755,0.386564,0.515048,2.193881,0.039262,14.175293,5.386514,18.312965,37.283749,3.734264
"2024070208","2024070208",114.26490970,22.31524000,2.000000,3.136955,0.387094,0.509967,2.200261,0.039633,14.200047,5.391919,18.162663,37.456787,3.743332
"2024070208","2024070208",114.26495230,22.31523120,2.000000,3.136955,0.387094,0.509967,2.200261,0.039633,14.200047,5.391919,18.162663,37.456787,3.743332
"2024070208","2024070208",114.26519450,22.31540910,2.000000,3.137210,0.386943,0.508818,2.201904,0.039545,14.202359,5.395967,18.140999,37.495731,3.730380
"2024070208","2024070208",114.26522080,22.31548550,2.000000,3.135073,0.385976,0.507197,2.202631,0.039269,14.153147,5.370719,18.069525,37.522285,3.706386
"2024070208","2024070208",114.26511820,22.31618210,2.000000,3.176741,0.404192,0.644406,2.089483,0.038660,15.135127,6.039251,22.220993,34.727570,3.676003
"2024070209","2024070209",114.26559470,22.31603490,2.000000,3.228800,0.403475,0.710051,2.067270,0.048005,15.284840,6.840633,18.426296,39.711639,3.875270
"2024070209","2024070209",114.26603610,22.31612690,2.000000,3.229439,0.403275,0.708635,2.069914,0.047614,15.288029,6.852405,18.419960,39.741402,3.847352
"2024070209","2024070209",114.26560780,22.31627970,2.000000,3.216886,0.399322,0.702536,2.067994,0.047033,15.122738,6.756144,18.210552,39.749420,3.815068
"2024070209","2024070209",114.26595260,22.31628670,2.000000,3.218869,0.399802,0.702183,2.069718,0.047166,15.143253,6.768023,18.222614,39.761444,3.821496
"2024070209","2024070209",114.26615370,22.31614770,2.000000,3.228684,0.402968,0.707862,2.070331,0.047524,15.276518,6.846987,18.402243,39.747253,3.841230
"2024070209","2024070209",114.26615190,22.31614720,2.000000,3.228684,0.402968,0.707862,2.070331,0.047524,15.276518,6.846987,18.402243,39.747253,3.841230
"2024070209","2024070209",114.26615110,22.31613860,2.000000,3.228684,0.402968,0.707862,2.070331,0.047524,15.276518,6.846987,18.402243,39.747253,3.841230
"2024070209","2024070209",114.26617530,22.31615620,2.000000,3.228684,0.402968,0.707862,2.070331,0.047524,15.276518,6.846987,18.402243,39.747253,3.841230
"2024070209","2024070209",114.26595340,22.31637210,2.000000,3.218381,0.399678,0.702147,2.069417,0.047140,15.139347,6.765687,18.221977,39.756989,3.820101
"2024070209","2024070209",114.26620430,22.31663520,2.000000,3.438182,0.472476,0.961397,1.957298,0.047010,18.348616,8.892634,25.626312,36.867729,3.809482
"2024070209","2024070209",114.26624170,22.31679750,2.000000,3.322947,0.435510,0.846781,1.993759,0.046897,16.647739,7.766296,22.184414,37.902504,3.802057
"2024070209","2024070209",114.26623720,22.31722870,2.000000,3.224721,0.402163,0.714636,2.061155,0.046767,15.252224,6.843014,18.558861,39.576805,3.795081
"2024070209","2024070209",114.26607960,22.31738360,2.000000,3.224930,0.402394,0.717628,2.058252,0.046656,15.259811,6.849793,18.614090,39.537926,3.790074
"2024070209","2024070209",114.26595730,22.31699460,2.000000,3.315529,0.433165,0.839727,1.995847,0.046790,16.548988,7.702337,21.980877,37.971916,3.796999
